gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000185112,1161.674475741636,1.4769678683034448,0.1884681618863242,7.836696944040276,4.625526177309606e-15,4.1023791666558896e-11,MA100_vs_CTR,True,up_in_MA100
ENSG00000135046,4815.3019007067705,-0.9701195443963261,0.1367022279480207,-7.096589126295746,1.2787349416013216e-12,5.138286631002561e-09,MA100_vs_CTR,True,up_in_CTR
ENSG00000040275,2053.578939417958,1.214744151772393,0.17220564185789136,7.054032252757618,1.7380606486647517e-12,5.138286631002561e-09,MA100_vs_CTR,True,up_in_MA100
ENSG00000214357,1332.7426354216502,1.31357599276026,0.1967259309179418,6.677187835030137,2.435706914121907e-11,5.4005711553367985e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000147133,1810.4705208275275,1.2812810503132728,0.1929411289515432,6.640787567046237,3.120114557992149e-11,5.534459202966474e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000131747,19915.706763433758,1.0382593389350574,0.15720730162612556,6.604396412860469,3.9914018181780236e-11,5.8999571209034825e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000159202,2393.486788117661,1.2680351823737765,0.19435269134960095,6.524402484825071,6.827315079435219e-11,8.650208205644422e-08,MA100_vs_CTR,True,up_in_MA100
ENSG00000084623,2680.168435017289,-0.8190499682937128,0.12875779893466574,-6.361167828826546,2.0022552088907527e-10,1.974918882412972e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000178741,2251.5274783195578,-0.876411725793912,0.13809313400931492,-6.346526437257878,2.202307158165216e-10,1.974918882412972e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000180035,124.08528048926318,-1.7591554730889483,0.2772582578494253,-6.344826252368355,2.2267661319347977e-10,1.974918882412972e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000124145,4596.392006262066,0.7371007124327815,0.11825555189233833,6.23311718255604,4.5724386792104127e-10,3.686632604174286e-07,MA100_vs_CTR,True,up_in_MA100
ENSG00000105849,728.2758574651139,-0.9412049192017402,0.15216446430153832,-6.185444962606982,6.192753893566034e-10,4.576961190169763e-07,MA100_vs_CTR,True,up_in_CTR
ENSG00000089597,4782.574473895875,1.1330850998281758,0.1837578533025388,6.166185985872753,6.99567975425981e-10,4.772667980040789e-07,MA100_vs_CTR,True,up_in_MA100
ENSG00000196396,3192.6985875973755,0.9551009834384904,0.1576030969735325,6.060166340505909,1.3598084966206736e-09,8.614386826091967e-07,MA100_vs_CTR,True,up_in_MA100
ENSG00000197958,5865.780702794145,-1.0369745764517062,0.17397117670838216,-5.960611384435979,2.5129594412610538e-09,1.4858291523029522e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000072110,21271.865544137705,0.6104746026142686,0.10267918639385593,5.945456173295097,2.756880073143676e-09,1.528173085544454e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000177469,37009.97493551837,0.8319567984898947,0.14076883031543766,5.910092430445212,3.4191582184721825e-09,1.7837949552723406e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000129084,1772.3419221562774,-0.7594083207034269,0.12995856180488466,-5.843465102696169,5.1126012628719414e-09,2.519092255578403e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000107949,1416.0331215547903,1.267917122176433,0.21869853006795872,5.797556672111323,6.728804559187267e-09,3.1409351387069405e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000119681,5298.729572415569,0.5348952232315791,0.09284771398017715,5.760995077873199,8.361947885017038e-09,3.7081057896108055e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000122565,10607.198469735378,0.9214393469210758,0.160609345383989,5.7371465198247,9.628495601334586e-09,3.882085018152187e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000162604,1167.828941956662,0.6727566235127898,0.1172637164588055,5.73712520657767,9.629706889091005e-09,3.882085018152187e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000136104,280.21885429216104,-1.317805856853635,0.23179345335064094,-5.68525917278669,1.3061442535406805e-08,5.015320685007758e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000183023,519.3662153354627,0.9293531648251152,0.16365579155512464,5.678706240665358,1.3571732601216167e-08,5.015320685007758e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000123136,1051.1528953985073,-0.862018756300872,0.15264872217369793,-5.647074826607372,1.632008105698395e-08,5.693130955022349e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000100234,5268.9435397174,0.5434035181518855,0.09629346505200044,5.643202452611259,1.66915875696881e-08,5.693130955022349e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000134419,4715.422853912086,-0.9414709419250465,0.16702452065661993,-5.636722908851119,1.7331664876040528e-08,5.693130955022349e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000205730,886.8160719645749,1.1975026641220916,0.2131015892967098,5.619398091183455,1.9162386692020512e-08,6.069685984697497e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000148296,125.32596679462267,2.348830730674042,0.4202733336836755,5.58881694940446,2.2862179000872064e-08,6.991885019266702e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000108298,12971.561490794344,-0.8384288820664003,0.15023526274171337,-5.5807728942294945,2.3945213444045828e-08,7.050544846970307e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000167863,2715.390494191022,-1.0758746835755324,0.19295539985974203,-5.575768723537037,2.4643915915670255e-08,7.050544846970307e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000070614,4072.772933481308,0.9132606502664067,0.16426447873541855,5.559696516843421,2.702441530745975e-08,7.489985605058141e-06,MA100_vs_CTR,True,up_in_MA100
ENSG00000162909,3785.7686594865722,-0.7710514149114535,0.1400060398748454,-5.507272511962441,3.644358895799767e-08,9.79449062025701e-06,MA100_vs_CTR,True,up_in_CTR
ENSG00000126950,1030.5714966558205,0.872262469918729,0.15903347091241787,5.484772890350214,4.1400094122937466e-08,1.0799336316950954e-05,MA100_vs_CTR,True,up_in_MA100
ENSG00000168028,5151.798091432949,-0.8947014819652692,0.16393429487339028,-5.457683413078788,4.8238675759152265e-08,1.2223680437369184e-05,MA100_vs_CTR,True,up_in_CTR
ENSG00000171246,1437.500224695801,-0.7240063082147721,0.13285862827897246,-5.449448918699701,5.052613204106208e-08,1.2447674029782766e-05,MA100_vs_CTR,True,up_in_CTR
